@relation 'Public_School_Characteristics_2018-19_?Miss-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C70-L70-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-L52-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L21-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C22-L22-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C23-L23-weka.filters.unsupervised.attribute.StringToNominal-R19-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-A22-35-R0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C37-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C38-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C39-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C40-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C41-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C42-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C43-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C48-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C51-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C53-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C54-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C55-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C56-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C57-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C58-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C59-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C60-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C61-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C62-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C63-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C64-Lfirst-last-M-weka.filters.unsupervised.attribute.NumericToNominal-R46-weka.filters.unsupervised.attribute.MergeManyValues-C46-LCity-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LSuburb-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LTown-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LRural-R1,2,3-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N35-F1-weka.filters.unsupervised.attribute.Remove-R3,5,8-13,15,47-weka.filters.unsupervised.attribute.Remove-V-R48,30,43,27,56,44,61,55,47,6,46,29,34,11,45,37-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1'

@attribute BLALF numeric
@attribute BL numeric
@attribute ASALM numeric
@attribute MEMBER numeric
@attribute TOTFENROL numeric
@attribute ASALF numeric
@attribute AS numeric
@attribute TOTMENROL numeric
@attribute BLALM numeric
@attribute LZIP numeric
@attribute HIALF numeric
@attribute HI numeric
@attribute FTE numeric
@attribute FRELCH numeric
@attribute HIALM numeric
@attribute ULOCALE {City,Suburb,Town,Rural}

@data
32,72,2,592,287,0,2,305,40,35128,8,16,28.85,289,8,Rural
5,8,0,259,112,0,0,147,3,27947,9,33,20.17,93,24,Rural
2,2,0,59,26,2,2,33,0,54403,3,5,5,32,2,Rural
21,43,40,1066,524,34,74,542,22,43021,11,30,57.27,40,19,Rural
56,127,8,1454,727,5,13,727,71,85143,278,556,70.419998,567,278,Rural
5,11,0,129,66,0,0,63,6,15423,0,0,7.99,56,0,Rural
26,55,32,682,316,45,77,366,29,89141,74,158,36,164,84,Rural
1,4,0,36,10,0,0,26,3,49083,0,0,2,16,0,Rural
0,2,2,1470,733,5,7,737,2,83442,76,158,74.269997,369,82,Rural
79,161,72,2045,1019,60,132,1026,82,29072,58,135,130.300003,266,77,Rural
99,203,22,850,404,30,52,446,104,36064,32,65,38,103,33,Rural
0,1,1,175,85,0,1,90,1,57039,1,2,11.99,21,1,Rural
0,0,0,15,3,0,0,12,0,59106,2,3,10.45,15,1,Rural
71,153,17,500,239,16,33,261,82,36064,20,41,19,77,21,Rural
3,6,1,696,335,0,1,361,3,77357,263,555,45.130001,592,292,Rural
7,12,10,722,359,7,17,363,5,78629,74,145,50.599998,126,71,Rural
27,58,3,315,163,3,6,152,31,2885,97,191,25,203,94,Rural
3,3,0,317,147,0,0,170,0,48420,5,13,18.5,175,8,Suburb
8,19,51,586,271,34,85,315,11,49525,11,22,36.419998,86,11,Suburb
4,6,2,412,203,4,6,209,2,49464,35,74,23.76,90,39,Suburb
0,0,0,147,56,0,0,91,0,90660,55,144,9.86,93,89,Suburb
226,456,2,729,372,1,3,357,230,49442,52,90,41.040001,663,38,Suburb
6,11,12,362,201,26,38,161,5,48638,17,30,15.47,40,13,Suburb
113,235,80,1723,898,82,162,825,122,55432,128,245,81.440002,408,117,Suburb
51,111,33,1894,940,38,71,954,60,64068,57,121,119.790001,218,64,Suburb
10,18,1,228,113,4,5,115,8,92220,74,151,8,151,77,Suburb
11,19,79,1066,505,70,149,561,8,95765,57,124,50,111,67,Suburb
15,38,66,2191,1065,54,120,1126,23,92025,719,1444,96.449997,1094,725,Suburb
5,7,2,507,244,1,3,263,2,28721,20,50,37.060001,504,30,Suburb
59,117,99,1448,683,77,176,765,58,94520,463,974,72.400002,1045,511,Suburb
19,41,69,739,343,74,143,396,22,28104,26,52,44.82,12,26,Suburb
11,33,31,701,331,25,56,370,22,27370,40,88,42.700001,246,48,Suburb
42,65,44,1078,549,47,91,529,23,95204,350,695,34.599998,573,345,Suburb
38,70,39,417,194,24,63,223,32,27513,49,107,34.5,149,58,Suburb
1,3,5,505,218,1,6,287,2,80138,28,56,28.68,23,28,Suburb
4,15,31,572,264,41,72,308,11,68116,8,18,33.529999,18,10,Suburb
22,56,0,842,387,0,0,455,34,33905,340,728,48.400002,608,388,Suburb
39,75,3,679,329,3,6,350,36,68147,173,373,42.700001,458,200,Suburb
102,208,129,1422,701,118,247,721,106,8859,197,373,122,1285,176,Suburb
5,8,7,288,143,1,8,145,3,8690,33,62,20.040001,47,29,Suburb
90,195,15,1301,631,12,27,670,105,89121,470,950,58,1273,480,Suburb
8,16,12,330,158,9,21,172,8,12180,12,26,21,43,14,Suburb
5,13,1,537,274,4,5,263,8,13760,13,18,39.029999,205,5,Suburb
12,38,3,1247,619,6,9,628,26,14224,22,55,76.559998,394,33,Suburb
42,76,5,407,209,6,11,198,34,33830,34,81,26,98,47,Suburb
1,5,10,550,277,14,24,273,4,11780,13,32,43.450001,34,19,Suburb
1,5,59,290,122,43,102,168,4,11801,29,71,24,68,42,Suburb
0,0,3,315,156,3,6,159,0,11758,7,16,22.540001,14,9,Suburb
23,40,1,304,144,1,2,160,17,11772,61,142,28,152,81,Suburb
1,3,3,673,342,2,5,331,2,11946,186,377,56,382,191,Suburb
1,1,12,381,184,10,22,197,0,11777,13,28,27.700001,25,15,Suburb
51,109,11,627,292,8,19,335,58,10927,198,415,42.68,420,217,Suburb
10,19,51,814,427,46,97,387,9,10528,87,154,76.010002,143,67,Suburb
2,2,42,533,256,33,75,277,0,10580,26,57,44.400002,9,31,Suburb
87,184,24,748,371,9,33,377,97,33437,138,252,50.599998,306,114,Suburb
33,77,5,464,210,7,12,254,44,12553,124,264,37.029999,274,140,Suburb
19,41,23,440,232,22,45,208,22,14467,19,43,38,186,24,Suburb
9,25,5,281,136,4,9,145,16,13088,2,11,21.01,122,9,Suburb
151,323,10,592,266,13,23,326,172,33322,71,159,40,411,88,Suburb
20,34,0,575,256,0,0,319,14,33010,231,529,49,488,298,Suburb
2,3,4,987,454,6,10,533,1,33155,439,957,68,614,518,Suburb
0,0,0,169,73,2,2,96,0,45150,2,2,6,18,0,Suburb
7,8,16,625,307,16,32,318,1,45255,12,24,33,80,12,Suburb
44,98,48,851,398,43,91,453,54,44124,8,21,54,70,13,Suburb
0,2,2,336,177,2,4,159,2,44131,1,2,22.73,19,1,Suburb
1,4,9,211,100,8,17,111,3,44012,1,8,12.9,25,7,Suburb
5,12,89,921,463,91,180,458,7,43017,18,34,43.799999,8,16,Suburb
57,131,84,1613,800,99,183,813,74,43054,36,68,97.099998,114,32,Suburb
12,24,1,295,145,0,1,150,12,45373,8,11,14.5,138,3,Suburb
1,3,0,375,171,4,4,204,2,45619,1,5,19.33,126,4,Suburb
8,16,4,419,195,3,7,224,8,43560,8,26,20.4,144,18,Suburb
4,8,0,226,115,0,0,111,4,44436,5,13,17.959999,186,8,Suburb
48,98,5,758,357,0,5,401,50,32712,179,361,48,380,182,Suburb
3,7,5,343,163,4,9,180,4,97520,31,62,18.379999,110,31,Suburb
1,5,13,550,250,8,21,300,4,97070,34,88,32,136,54,Suburb
93,177,16,1193,609,21,37,584,84,32904,111,222,63.799999,547,111,Suburb
260,520,5,819,395,4,9,424,260,32507,30,54,37,691,24,Suburb
35,141,0,192,47,0,0,145,106,32507,3,6,13,153,3,Suburb
26,59,21,867,409,12,33,458,33,17109,30,63,53.450001,188,33,Suburb
9,12,6,510,252,3,9,258,3,17517,17,35,30.74,162,18,Suburb
2,4,5,588,290,3,8,298,2,34223,44,80,39,267,36,Suburb
8,14,3,483,250,5,8,233,6,18944,18,28,42.630001,132,10,Suburb
126,249,15,1019,474,10,25,545,123,19061,35,79,77.099998,654,44,Suburb
21,48,29,722,352,50,79,370,27,19044,16,30,49.990002,100,14,Suburb
21,43,4,292,140,4,8,152,22,19405,42,85,25.950001,209,43,Suburb
2,7,23,267,117,15,38,150,5,15243,1,2,19.799999,34,1,Suburb
77,177,2,695,326,3,5,369,100,32303,12,22,46,258,10,Suburb
2,4,4,473,232,6,10,241,2,15601,4,7,32.900002,90,3,Suburb
11,22,3,710,350,3,6,360,11,33563,300,610,46.5,618,310,Suburb
8,17,4,341,175,5,9,166,9,17701,6,16,26.25,124,10,Suburb
5,10,0,497,246,1,1,251,5,16150,5,9,29.75,245,4,Suburb
23,43,2,264,141,1,3,123,20,2914,10,23,20,141,13,Suburb
36,70,3,868,440,7,10,428,34,33542,115,229,58.799999,642,114,Suburb
80,156,4,564,278,0,4,286,76,29483,10,26,35,247,16,Suburb
4,11,2,377,166,3,5,211,7,33772,23,54,25,129,31,Suburb
165,327,1,827,418,3,4,409,162,34785,63,127,46,550,64,Suburb
218,442,4,993,490,2,6,503,224,35023,59,103,57.169998,500,44,Suburb
87,183,13,602,273,10,23,329,96,75070,58,122,44.93,184,64,Suburb
38,79,1,786,373,8,9,413,41,85326,211,453,35.299999,479,242,Suburb
31,65,77,967,478,82,159,489,34,30062,43,87,62.799999,46,44,Suburb
74,149,61,486,231,51,112,255,75,30084,67,139,37.5,365,72,Suburb
9,16,15,514,250,13,28,264,7,30269,15,32,39,25,17,Suburb
8,15,87,1265,617,98,185,648,7,78732,72,173,70.379997,55,101,Suburb
7,15,10,610,287,7,17,323,8,78628,59,132,44.560001,84,73,Suburb
163,319,6,458,229,0,6,229,156,30014,19,42,29.1,343,23,Suburb
14,26,23,516,258,21,44,258,12,75034,87,174,37.23,110,87,Suburb
14,30,17,562,272,19,36,290,16,76180,46,87,35.939999,125,41,Suburb
262,561,2,800,381,3,5,419,299,75104,91,181,47.919998,510,90,Suburb
